rank_tfidf,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,similitud_tfidf,idioma
62,opcionempleo::jobadar4d1bf738adf3894f2ff5f4f8629e3ae0,opcionempleo,Contador/a para Control de Gestión (Área (Córdoba),In.Corporate,Control de Gestión,Argentina,,https://www.opcionempleo.com.ar/jobad/ar4d1bf738adf3894f2ff5f4f8629e3ae0,0.11168058775883408,es
63,opcionempleo::jobadarfc00b5dcc5d7a97e2e6f31f5a45b0768,opcionempleo,Analista de control de gestion (Buenos Aires),Aliancers,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arfc00b5dcc5d7a97e2e6f31f5a45b0768,0.11133248361284032,es
64,opcionempleo::jobadareffe1a962ec9b612ed286f953a4cecd5,opcionempleo,Analista de Planeamiento y Control de Gestión,ITBA,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/areffe1a962ec9b612ed286f953a4cecd5,0.10993418854797275,es
65,opcionempleo::31011523,opcionempleo,Business Intelligence Analyst (Pilar),Mccain Foods,BI / Analytics,"Pilar, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar10c4c1340d2b88dd31011523c74eb5d0,0.10878977323256096,es
66,bumeran::1118200386,bumeran,774SI Analista de Compras Productivas con experiencia en Industria - Zona Norte,CONA CONSULTORES EN RRHH,Compras / Procurement,"San Isidro, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/774si-analista-de-compras-productivas-con-experiencia-en-industria-zona-norte-cona-consultores-en-rrhh-1118200386.html,0.10856278409186525,es
67,opcionempleo::200148,opcionempleo,Analista de Planeamiento y Control de Gestión,Instituto Tecnológico de Buenos Aires,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arfa200148ec78cc340460e857729dc3fd,0.10757233810359261,es
68,opcionempleo::jobadar0dcabfca6bb7d522c9420a57c3737cf7,opcionempleo,Pasantía Supply Chain Buenos Aires (Argentina),Direcciona,Supply Chain,Argentina,,https://www.opcionempleo.com.ar/jobad/ar0dcabfca6bb7d522c9420a57c3737cf7,0.10754017891023358,es
69,opcionempleo::jobadar3290ef694afe5b36f7243da9ef8d7883,opcionempleo,Analista de Compras Internacionales (Buenos Aires),Stamm Vegh,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar3290ef694afe5b36f7243da9ef8d7883,0.10738849081739055,es
70,opcionempleo::64222643,opcionempleo,ANALISTA DE COMPRAS Semi Sr. (Buenos Aires),Brunori Maria Raquel,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar3de93fc3a05b5702e64222643c970bc5,0.10691473451998715,es
71,opcionempleo::jobadar2edc5387bfc7b6f0054cdeac752be951,opcionempleo,Analista Sr de Control de Gestión (Buenos Aires),Vanguardia Consultores RR.HH,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar2edc5387bfc7b6f0054cdeac752be951,0.10667559224135313,es
72,opcionempleo::84336858,opcionempleo,Coordinador de Análisis de Marketing,Baliarda,Excel / VBA,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/aref7ff733adf3ac22d84336858f7b5447,0.10650397842093637,es
