rank_tfidf,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,similitud_tfidf,idioma
301,opcionempleo::419166,opcionempleo,Desarrollador Backend,Universidad de Palermo,Desarrollador Backend,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar419166b874b8cd9e46e52abc9657d5b5,0.05641454417944661,es
302,getonboard::subgerente-de-inteligencia-artificial-bc-tecnologia-remote,getonboard,Subgerente de Inteligencia Artificial,,Machine Learning,Remoto,Remoto,https://www.getonbrd.com/jobs/subgerente-de-inteligencia-artificial-bc-tecnologia-remote,0.0563994331462195,es
303,getonboard::software-engineer-android-witi-santiago-3865,getonboard,Software Engineer Android,,Software Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/software-engineer-android-witi-santiago-3865,0.056300247440308454,es
304,opcionempleo::jobadard604da63b2f61e4db156c133bb823b9c,opcionempleo,Inyeccionistas / Ingenieros de fluidos para empresa de servicios petroleros (Neuquén) (Añelo),Manpower,Ingeniero de Datos,"Añelo, Neuquén",,https://www.opcionempleo.com.ar/jobad/ard604da63b2f61e4db156c133bb823b9c,0.05626271095935429,es
305,linkedin::4457958654,linkedin,SR Data Scientist,Aper,Data Scientist,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4457958654,0.05626112727021042,es
306,linkedin::4328039738,linkedin,"Data Eng, Migration & Governance",Accenture Argentina,Ingeniero de Datos,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4328039738,0.056212970344767785,es
307,getonboard::site-reliability-engineer-sre-secretaria-de-gobierno-digital-santiago,getonboard,Site Reliability Engineer (SRE),,NLP Engineer,Chile,Remoto,https://www.getonbrd.com/jobs/site-reliability-engineer-sre-secretaria-de-gobierno-digital-santiago,0.056188556960215255,es
308,opcionempleo::82491,opcionempleo,Ingeniero de Microsoft 365/Teams Senior (San Nicolás),C&S Informática,Ingeniero de Datos,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arac82491b3be93bfbcf9721a77f2ba110,0.05604634709822953,es
309,opcionempleo::47613859,opcionempleo,Customer Data Lifecycle Analyst,Philip Morris International,Data Analyst,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar9b28cd68ef6e10bce6eba47613859c67,0.05604070873332585,es
310,opcionempleo::94747043,opcionempleo,Customer Data Lifecycle Analyst (Buenos Aires),Philip Morris International,Data Analyst,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/are89e94747043a81aab9fd4bb570dac09,0.055908576065456066,es
311,jobrapido::1820072825680035840,jobrapido,Desarrollador/a Backend Rosario (Argentina),Importante empresa,Desarrollador Full Stack,"Rosario, Santa Fe",,https://ar.jobrapido.com/jobpreview/1820072825680035840?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F52937201%252Fdesarrollador-a-backend-rosario-argentina&w=Python&p=3,0.055887352552758895,es
312,bumeran::1118436307,bumeran,Desarrollador Full Stack (JAVA / React) Senior - Mix (Onsite - Remoto) - 1778,Aliantec,Software Engineer,CABA,Híbrido,https://www.bumeran.com.ar/empleos/desarrollador-full-stack-java-react-senior-mix-onsite-remoto-1778-aliantec-1118436307.html,0.05586985471665753,es
313,getonboard::qa-funcional-senior-microsoft-dynamics-365-latam-bc-tecnologia-remote,getonboard,QA Funcional Senior Microsoft Dynamics 365 (LATAM),,Python Developer,Remoto,Remoto,https://www.getonbrd.com/jobs/qa-funcional-senior-microsoft-dynamics-365-latam-bc-tecnologia-remote,0.0558513017970809,es
314,opcionempleo::8280552895,opcionempleo,Desarrollador Full Stack (Java / React) Senior - Mix (Onsite - Remoto),,Desarrollador Full Stack,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar24d8605e1c2f8280552895bd3d3c83b7,0.0558427809186231,es
315,opcionempleo::0953985,opcionempleo,Desarrollador Full Stack (JAVA / React) Senior - Mix (Onsite - Remoto),Aliantec,Desarrollador Full Stack,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar4761b6cd603b3dce0953985ad78ddbc5,0.05578700159211942,es
316,getonboard::senior-ios-developer-bci-santiago,getonboard,Senior iOS Developer,,Backend,Chile,Híbrido,https://www.getonbrd.com/jobs/senior-ios-developer-bci-santiago,0.05567306535854413,es
317,opcionempleo::jobadarf0cc11b3b7cf3a52fd5b8fce59dffdd2,opcionempleo,Analista de Proyectos Ingeniero Industrial Actuario (San Nicolás),Susana Castello,Ingeniero de Datos,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arf0cc11b3b7cf3a52fd5b8fce59dffdd2,0.05566038913060975,es
318,getonboard::data-engineer-grupo-mariposa-remote,getonboard,Data Engineer Senior,,Data Analyst,Remoto,Remoto,https://www.getonbrd.com/jobs/data-engineer-grupo-mariposa-remote,0.055659554469638946,es
319,getonboard::product-business-analyst-bice-vida-santiago-5706,getonboard,Product Business Analyst,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/product-business-analyst-bice-vida-santiago-5706,0.05561342823129965,es
320,opcionempleo::11162520593,opcionempleo,Remote Azure Java Architect Cloud Migration & Leadership Buenos Aires (Argentina),Werben HR,Desarrollador Full Stack,Argentina,,https://www.opcionempleo.com.ar/jobad/arc11162520593b9f470fa382561fa0708,0.05556742589759846,es
321,opcionempleo::14282295,opcionempleo,Ingeniero/a de Desarrollo de Software IBM Informix (SemiSenior/Senior) (San Nicolás),C\u0026S informatica,Ingeniero de Datos,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar15aedb25dd8539a8984a716f14282295,0.05556658086420474,es
322,opcionempleo::jobadar228ff92dc83a739b52ef8e53c4db0f4f,opcionempleo,Ingeniero Industrial JR - Imporatnte Empresa en Microcentro (San Nicolás),C\u0026S informatica,Ingeniero de Datos,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar228ff92dc83a739b52ef8e53c4db0f4f,0.05531762508448376,es
323,opcionempleo::jobadared38b630e902fc3a60cb2302a90e3164,opcionempleo,Ingeniero De Datos + Ingles (Buenos Aires),,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ared38b630e902fc3a60cb2302a90e3164,0.055234362758628947,es
324,linkedin::4434735110,linkedin,Developer IA Especialista | Advisory | CABA,KPMG Argentina,NLP Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4434735110,0.05517930074746856,es
