rank_final,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,score_final,similitud_embed,similitud_tfidf,rank_embed,rank_tfidf
744,opcionempleo::87211,opcionempleo,Ingeniero de Datos (Córdoba),Kinetic Talent,Ingeniero de Datos,Argentina,,https://www.opcionempleo.com.ar/jobad/ar87211c0d9fc162f6e8a59697fd4ef344,0.327611976416217,0.23465414,0.0593726899422176,974,260
745,linkedin::4436193465,linkedin,Senior Business Intelligence Engineer,Avicado,Ingeniero de Datos,Argentina,,https://www.linkedin.com/jobs/view/4436193465,0.3275413551961049,0.29086798,0.0158341371209896,564,1014
746,getonboard::mid-level-backend-software-engineer-for-ai-platform-systems-niuro-remote,getonboard,AI Back-end Engineer,,Data Analyst,Remoto,Remoto,https://www.getonbrd.com/jobs/mid-level-backend-software-engineer-for-ai-platform-systems-niuro-remote,0.3273742252820924,0.30181473,0.0072604345592799,489,1258
747,linkedin::4463254272,linkedin,"Cloud AI Engineer, Google Cloud (English)",Google,Machine Learning Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4463254272,0.32710676428449675,0.281888,0.0225123492696623,630,890
748,getonboard::especialista-cobol-mainframe-bc-tecnologia-remote,getonboard,Especialista COBOL Mainframe,,NLP Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/especialista-cobol-mainframe-bc-tecnologia-remote,0.32697644767919026,0.23017803,0.0624412917145607,1001,224
749,opcionempleo::jobadar1707f2c4ad8fd23e4f86d21b59e36af1,opcionempleo,QA Automation Senior – Virtual Assistant (San Nicolás),C\u0026S informatica,NLP Engineer,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar1707f2c4ad8fd23e4f86d21b59e36af1,0.32656782165059295,0.23205426,0.0607357866364299,989,244
750,opcionempleo::211304,opcionempleo,Client Technology Software engineering_Assurance Sr. Engineer/Arch 1 - EY Global Delivery Services (Buenos Aires),EY,NLP Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar9e211304ddbc31554dc69eeeace634f2,0.3265423475295602,0.3007425,0.0075733782865348,497,1247
751,linkedin::4465305116,linkedin,Middle NodeJs Engineer,"Avenga Water Well Service, LLC",Desarrollador Backend,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4465305116,0.3264424102214797,0.30014232,0.0079756882557698,505,1233
752,zonajobs::2186265,zonajobs,Desarrollador/a Odoo + Integraciones con IA,Fadav,Software Engineer,Apto discapacidad,Híbrido,https://www.zonajobs.com.ar/empleos/desarrollador-a-odoo-integraciones-con-ia-fadav-2186265.html,0.32590626938292366,0.27994278,0.0232718088267571,642,872
753,opcionempleo::jobadar2d44a216b63f6afd1ff209e2f47b0d79,opcionempleo,Data Scientist,Nosis,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar2d44a216b63f6afd1ff209e2f47b0d79,0.325786086201937,0.23288651,0.0596063084111412,981,256
754,linkedin::4464145360,linkedin,Dashboarding Analyst,Accenture Argentina,Data Analyst,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4464145360,0.32530765282784474,0.2762236,0.0257776725324049,667,826
755,linkedin::4454370205,linkedin,Senior Full-Stack Engineer (Scalable Systems),Derq,Desarrollador Full Stack,Argentina,,https://www.linkedin.com/jobs/view/4454370205,0.32521927884394386,0.3021504,0.0056622764772495,484,1285
756,linkedin::4441443320,linkedin,Senior ML Engineer with Python (IR-536),Intellectsoft,NLP Engineer,Argentina,,https://www.linkedin.com/jobs/view/4441443320,0.32520788089979785,0.3021978,0.0056185221082413,481,1286
757,linkedin::4441200060,linkedin,Senior Python Backend Developer / ML Engineer (IR-535),Intellectsoft,Desarrollador Backend,Argentina,,https://www.linkedin.com/jobs/view/4441200060,0.3249438190844714,0.30198583,0.0056185221082413,487,1287
758,getonboard::ingeniero-a-cloud-riskamerica-remote,getonboard,Ingeniero/a Cloud,,NLP Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/ingeniero-a-cloud-riskamerica-remote,0.3246790095448373,0.25520974,0.0416464087656688,817,564
759,linkedin::4447362393,linkedin,AI/Backend Engineer,Prospera AI,NLP Engineer,Argentina,,https://www.linkedin.com/jobs/view/4447362393,0.32380555753637263,0.3073816,0.0007366442017469,455,1396
760,getonboard::ingeniero-a-de-datos-semi-senior-bc-tecnologia-santiago,getonboard,Ingeniero(a) de Datos Semi Senior,,Data Engineer,Chile,Híbrido,https://www.getonbrd.com/jobs/ingeniero-a-de-datos-semi-senior-bc-tecnologia-santiago,0.32336642353781186,0.20638405,0.0786093710523074,1124,105
761,opcionempleo::0329271,opcionempleo,Data Analyst (Agronomía),Especialistas de Reclutamiento,Data Analyst,Argentina,,https://www.opcionempleo.com.ar/jobad/ar7bb746e0fb01e29fd75bc4b6b0329271,0.3233467376423028,0.26127878,0.036123097502767,776,655
762,opcionempleo::0998384747,opcionempleo,Sr Software Engineer Backend Buenos Aires,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ara3e0998384747b1d4ed58e9444c1248f,0.32330607432177816,0.24380802,0.0496156031309294,916,419
763,getonboard::ingeniero-gobierno-de-datos-agrosuper-rancagua,getonboard,Ingeniero Gobierno de Datos,,Ingeniero de Datos,Chile,Híbrido,https://www.getonbrd.com/jobs/ingeniero-gobierno-de-datos-agrosuper-rancagua,0.32309551751275534,0.24779293,0.0464015566034533,886,481
764,opcionempleo::84940,opcionempleo,Data Analyst,Especialistas de Reclutamiento,Data Analyst,"Agronomía, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/are6d2f5d4089fb155ab2fc84940bdc067,0.32272015548389643,0.25503853,0.0405622351980822,821,591
765,opcionempleo::50849,opcionempleo,Data Scientist,World Business Lenders,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar88c2f9fecd60c7542c50849baaae22d7,0.32266636995456177,0.29674676,0.0082576563986441,530,1225
766,linkedin::4459871355,linkedin,Data Architect Databricks,hiberus,Data Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4459871355,0.3226330011451246,0.2449825,0.0482888192995872,908,440
767,opcionempleo::742225059,opcionempleo,Machine Learning Engineer Sr. (IA Generativa) (Argentina),Flux IT,Machine Learning Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/arbdd742225059ffd38c7247ec44fd9992,0.3225017907232485,0.27468112,0.0252284233733225,676,840
768,bumeran::1118425671,bumeran,Programador/a Genexus,B&B Consultores,Software Engineer,"Rosario, Santa Fe",Híbrido,https://www.bumeran.com.ar/empleos/programador-a-genexus-bb-consultores-1118425671.html,0.3223730552197168,0.20329863,0.0803796911624661,1156,95
769,linkedin::4461990629,linkedin,Senior Data Engineer,EPAM Systems,Data Engineer,Argentina,,https://www.linkedin.com/jobs/view/4461990629,0.3220819161592696,0.28366053,0.0180199434392967,618,978
770,linkedin::4450522488,linkedin,Semi Senior Data Engineer,Monks,Data Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4450522488,0.32147088616931613,0.29645616,0.0077399887644082,531,1242
771,linkedin::4452484208,linkedin,Analytics Engineer,Ciklum,Data Engineer,Argentina,,https://www.linkedin.com/jobs/view/4452484208,0.3214486097564796,0.28708357,0.0149780662153931,600,1044
772,getonboard::growth-42labs-santiago,getonboard,Growth Data Analyst,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/growth-42labs-santiago,0.32134052643512356,0.23880708,0.0522642095650196,946,370
773,getonboard::product-engineering-leader-interfell-cuernavaca-ciudad-de-mexico-puebla-queretaro-toluca,getonboard,Product & Engineering Leader,,Full Stack,Mexico,Híbrido,https://www.getonbrd.com/jobs/product-engineering-leader-interfell-cuernavaca-ciudad-de-mexico-puebla-queretaro-toluca,0.32019102372352426,0.21161287,0.07259140111337,1104,131
774,linkedin::4457858486,linkedin,Sr Software Engineer Fullstack,Trafilea,Software Engineer,Argentina,,https://www.linkedin.com/jobs/view/4457858486,0.3198752405966884,0.27842572,0.0206997391011494,654,917
775,linkedin::4461920376,linkedin,Lead Data Engineer,EPAM Systems,Ingeniero de Datos,Argentina,,https://www.linkedin.com/jobs/view/4461920376,0.319701540685576,0.2818306,0.0179573746866437,631,979
776,linkedin::4450804275,linkedin,"Senior Full Stack Developer (Ruby on Rails, React)",Miratech,Desarrollador Full Stack,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4450804275,0.3196024411728514,0.29170468,0.0102558895750698,556,1162
777,opcionempleo::jobadard30fc9aabf8c4d3595ed8b1f5794c052,opcionempleo,Full Stack Developer Ssr. (Buenos Aires),,Desarrollador Full Stack,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ard30fc9aabf8c4d3595ed8b1f5794c052,0.319433226722459,0.27931523,0.0197369579263114,647,940
778,getonboard::ai-solutions-expert-healthatom-remote,getonboard,AI Product Specialist,,Machine Learning,Chile,Híbrido,https://www.getonbrd.com/jobs/ai-solutions-expert-healthatom-remote,0.31943160656385305,0.26766622,0.0287492138284038,721,772
779,linkedin::4461513152,linkedin,Data Engineer Ssr,Universia Argentina,Data Engineer,"Córdoba, Córdoba, Argentina",,https://www.linkedin.com/jobs/view/4461513152,0.31900248171452045,0.24785557,0.0438109037496017,885,524
780,linkedin::4415693444,linkedin,Data Engineer,Perform,Data Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4415693444,0.3188455753722783,0.27182573,0.0251668656642228,692,841
