rank_optimizado,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,score_optimizado,similitud_tfidf
496,opcionempleo::jobadara7cb0983c09f5123d141fc4a6a7c860b,opcionempleo,Data Scientist Project Leader - IT Fraude (Buenos Aires),MercadoLibre,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ara7cb0983c09f5123d141fc4a6a7c860b,0.2460428426265634,0.0458451894879088
497,opcionempleo::031917272,opcionempleo,Desarrollador Full Stack (.NET + Angular) - Híbrido,Aliantec,Desarrollador Full Stack,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar2d8f7d5bbb4c4e180b8833e031917272,0.2459814453247164,0.0458337493220126
498,opcionempleo::630555,opcionempleo,Ingeniero de Datos (SSR) – Python / SQL / Big Data / Lakehouse (Híbrido),Talent Connect,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar2fb229ef17ac38c8a3f81e630555a4e9,0.24577136524431772,0.0457946050779017
499,bumeran::1118421640,bumeran,Frontend Software Engineer – Angular,GVG Consultora,Software Engineer,"Buenos Aires, Buenos Aires",Remoto,https://www.bumeran.com.ar/empleos/frontend-software-engineer--angular-gvg-consultora-1118421640.html,0.24426941160994978,0.0455147458947018
500,getonboard::backend-developer-typescript-nestjs-ia-generati-bc-tecnologia-santiago,getonboard,Back-end Developer – TypeScript / NestJS + IA Generati,,Backend,Chile,Híbrido,https://www.getonbrd.com/jobs/backend-developer-typescript-nestjs-ia-generati-bc-tecnologia-santiago,0.24426545398414237,0.0455140084698569
501,getonboard::desarrollador-a-backend-zerviz-technologies-remote,getonboard,Desarrollador/a Back-end,,Python Developer,Remoto,Remoto,https://www.getonbrd.com/jobs/desarrollador-a-backend-zerviz-technologies-remote,0.2441357149531918,0.0454898341821824
502,opcionempleo::94668,opcionempleo,Sr Software Engineer Genai Security Buenos Aires,,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/aradd3a2c35a2e432a35fbe9f2e94668aa,0.2436682025911697,0.045402722553183
503,getonboard::full-stack-engineer-dynamic-devs-santiago-7c44,getonboard,Full-Stack Engineer (RPA / ETL / Automatización),,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/full-stack-engineer-dynamic-devs-santiago-7c44,0.24336019991717048,0.0453453323816115
504,getonboard::junior-data-engineer-grupo-mariposa-remote,getonboard,Junior Data Engineer,,Machine Learning,Remoto,Remoto,https://www.getonbrd.com/jobs/junior-data-engineer-grupo-mariposa-remote,0.24333583611218312,0.0453407926711921
505,opcionempleo::93229,opcionempleo,Analista Ia Senior/Lead O Semi Senior,C&S Informática,NLP Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar0a0fbf40a93229c5d7b216bc6ffee07f,0.24276738710286605,0.0452348735057811
506,opcionempleo::401434653,opcionempleo,Analista/Desarrollador Full Stack – Marketing Automation & Cloud (Freelance),OneInfo Consulting,Desarrollador Full Stack,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar7a1f9185a401434653f5d20ac5c2bbc5,0.24253067193243225,0.0451907663424621
507,getonboard::qa-engineer-asimov-consultores-santiago,getonboard,QA Engineer,,NLP Engineer,Chile,Híbrido,https://www.getonbrd.com/jobs/qa-engineer-asimov-consultores-santiago,0.24238614356365296,0.0451638363558698
508,opcionempleo::24862,opcionempleo,Sr Software Engineer Genai Security (Buenos Aires),,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar030d872a6a24862a4d4541cadcd7db9a,0.24207744716127266,0.045106316921814
509,opcionempleo::4780380,opcionempleo,Diseñador Gráfico Y Desarrollador Full-Stack,Vmi,Desarrollador Full Stack,Tucumán,,https://www.opcionempleo.com.ar/jobad/ar4a1785c528c4218a6e8a4780380dc85b,0.24182236637004895,0.0450587876903861
510,opcionempleo::96479237,opcionempleo,Ingeniero de datos (Buenos Aires),ThinkBig HR,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar7f96479237ac66abbca6c4d0696a3509,0.24003721661687144,0.0447261605437272
511,getonboard::operador-de-monitoreo-mediastream-bogota-9ac4,getonboard,Operador de Monitoreo,,Backend,Colombia,Remoto,https://www.getonbrd.com/jobs/operador-de-monitoreo-mediastream-bogota-9ac4,0.24000585150294848,0.0447203162786563
512,opcionempleo::jobadar2ec5f3574bcfe995f359ca66aec0009a,opcionempleo,Ingeniero/a Ambiental Bahía Blanca,Adecco,Ingeniero de Datos,"Bahía Blanca, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar2ec5f3574bcfe995f359ca66aec0009a,0.2398773001309267,0.0446963632875985
513,getonboard::desarrollador-a-backend-junior-inversiones-vertice-limitada-santiago,getonboard,Desarrollador/a Back-end Junior,,Python Developer,Chile,Remoto,https://www.getonbrd.com/jobs/desarrollador-a-backend-junior-inversiones-vertice-limitada-santiago,0.23971780383969474,0.0446666443263961
514,getonboard::ingeniero-a-de-estudios-actuariales-bnp-paribas-cardif-santiago-4435,getonboard,Ingeniero(a) de Estudios Actuariales,,Ingeniero de Datos,Chile,Híbrido,https://www.getonbrd.com/jobs/ingeniero-a-de-estudios-actuariales-bnp-paribas-cardif-santiago-4435,0.23956717205847983,0.0446385770903043
515,linkedin::4451971903,linkedin,Software Developer Java,PAGOS360,Software Engineer,"Córdoba, Córdoba, Argentina",,https://www.linkedin.com/jobs/view/4451971903,0.23916252307730743,0.0445631788018603
516,opcionempleo::44933030,opcionempleo,Data Quality Engineer (Argentina Remoto)-POSICIÓN CUBIERTA,Idearhumano,Data Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/ar0f99f467a8758c5d4fdc03ae44933030,0.23878409710379414,0.0444926666492707
517,linkedin::4440382231,linkedin,Senior Fullstack Developer | Java,redbee Studios,Desarrollador Full Stack,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4440382231,0.23848973454668895,0.0444378180421559
518,opcionempleo::jobadar8870f5e3eb5e0c3c628cdcccd08f2acf,opcionempleo,Data Engineer Azure Data Factory (ADF) - Argentina | 100% remoto (Buenos Aires),Talent Connect,Data Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar8870f5e3eb5e0c3c628cdcccd08f2acf,0.2383549960339063,0.0444127122004907
519,opcionempleo::28729,opcionempleo,Sr Software Engineer Ios,PedidosYa,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar28729aaf50015e1c3959c6ccaefa49e4,0.23808081826673966,0.0443616246274691
520,getonboard::agente-de-customer-success-mx-comunidadfeliz-remote-1416,getonboard,Agente de Customer Success Mx,,Data Analyst,Remoto,Remoto,https://www.getonbrd.com/jobs/agente-de-customer-success-mx-comunidadfeliz-remote-1416,0.23800579771028532,0.0443476460390679
521,opcionempleo::jobadar7397fa02a8e61e84c31e861b4b1d3883,opcionempleo,Cyber Security Software Engineer Buenos Aires,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar7397fa02a8e61e84c31e861b4b1d3883,0.23677994047049566,0.0441192319269428
522,getonboard::react-front-end-engineer-prontopaga-santiago,getonboard,React Front-end Engineer (Semi Senior),,Software Engineer,Chile,Remoto,https://www.getonbrd.com/jobs/react-front-end-engineer-prontopaga-santiago,0.2366802237296715,0.0441006516958359
523,getonboard::key-account-manager-kam-senior-shipit-remote,getonboard,Key Account Manager (KAM) Senior,,Data Analyst,Remoto,Remoto,https://www.getonbrd.com/jobs/key-account-manager-kam-senior-shipit-remote,0.23602042688745653,0.0439777116788374
